GEOID,latitude,longitude,job_gravity,rail_gravity,park_gravity,crime_gravity,crime_trend,building_permit_gravity,building_permit_trend,gentrifying
17031420200,41.7834680644641,-87.59352076159603,-0.5477604136363086,-0.46053496641290614,0.26700832718761414,0.07458500829745142,0.23311962111123552,-0.3541983510126916,-0.5109355654896756,0
17031420300,41.78322409382214,-87.59869701520591,-0.5815295084870401,-0.28345407761045244,0.13011251996597534,-0.26464290646123495,0.40122987551386696,0.013140043845449917,-0.41774592431398483,0
17031420400,41.78316989788861,-87.6035583614819,-0.6240131259833085,0.43883025449171376,0.6064935026477587,0.6321706871728372,0.575075506298697,0.16806296320508293,-0.23839982242869295,0
17031420500,41.78310025419971,-87.60842612566718,-0.8400444230746393,0.5612673509097325,-0.003019549080852548,2.004888454841417,0.8281967839663443,0.3979290292803001,-0.00015083413989787372,0
17031420600,41.783013512155726,-87.61327769449517,-0.7809216839139085,0.6647958758808502,0.12779068336513397,2.7095900754975433,1.0679355167421969,0.9276569425841267,0.13611703739059366,0
17031420700,41.77669145058928,-87.61069325260799,-1.045876559327481,0.20718715475639896,-0.5126829401023266,1.8333503273776015,1.0535333493824577,0.6685589794892881,-0.20675051033128827,0
17031420800,41.77690977673589,-87.60325691983387,-0.879046151358125,0.1849027282532657,0.17406545344557106,1.2076992239244606,0.7152735956413013,0.41317704155113766,-0.4995066472322796,0
17031421200,41.77066216236717,-87.60894745404624,-0.7843564415916696,-0.2778459730237938,-0.5956618683177852,0.9488187672690127,1.0448665584049146,0.2902796991554772,-0.22169601882172918,0
17031430101,41.76985324172053,-87.57395301583693,-0.9868358234058371,-0.6122596408411568,-0.512628844878602,1.376238947263759,-0.11278730113951742,0.1013925272481215,-1.2230450876812766,0
17031430200,41.76976128060319,-87.58135086622279,-1.1092828956951948,-0.6031324831140605,-0.1577558046077496,0.5476844309957697,0.3758667666237054,-0.10080347164058809,-1.2116161694238805,0
17031430300,41.76971639686328,-87.58936011962871,-0.7844855602998712,-0.5584483772545507,0.08672624064586053,0.8319444123571358,0.431563643935267,-0.1526467746734545,-0.959300820202906,0
17031430400,41.762196134512415,-87.59030981946003,-0.6034503119766882,-0.5775335366998035,-0.2971192215505225,0.9225391585699847,0.6407137026727344,0.006486001844386081,-0.8019334072741447,0
17031430500,41.76431388102515,-87.58126994948839,-0.45662925097159496,-0.6070434057139122,0.42855076422409055,1.7011876142398785,0.4747701460144879,-0.01965653747866391,-1.085898068592524,0
17031430600,41.76441328813643,-87.57137298777623,-0.6107071692617085,-0.6211867802750379,-0.6387561956608427,0.6280582215586646,-0.07875740127181335,-0.05005688045017761,-1.082381478359479,0
17031430800,41.76075000780601,-87.57129826090427,-0.6173633927643237,-0.6219044510640174,-0.6317688097235619,0.276166967880106,-0.04332552051068164,-0.2529587421129755,-1.1184265282481896,0
17031430900,41.760640961857824,-87.58118514144209,-0.7630530798871048,-0.6096842059704437,0.6584049296450963,0.5056230618485434,0.5196335346041211,-0.053473595648106144,-0.9619382628776897,0
17031431200,41.75530112860253,-87.57118433947272,-0.8789938504706548,-0.6229557657554172,-0.6676929244220328,0.03384078248059171,-0.2263477535070268,-0.07379251427073129,-1.1219431184812347,0
17031431301,41.7535301662148,-87.56018712379178,-0.5829820960251613,-0.6295726603807272,-0.6122947544954287,1.5732781785585683,-0.8113561444911671,0.2587637387064826,-1.4507443052709368,0
17031431302,41.75838548999833,-87.56278598064895,-0.31067027935057384,-0.6295726603807272,-0.629483730609407,3.301777689495079,-0.7049330493992809,0.21145786807202693,-1.3619504018865518,0
17031440101,41.74862709756805,-87.6014511858359,-0.5501437471690311,-0.5472227176770084,-0.299153427538433,2.977306865393289,0.5989091814869395,1.1290529218083196,-0.6902816673749679,0
17031440102,41.7409356900695,-87.6011636635892,-0.7835236849191408,-0.5537044110962617,-0.16205326501359713,0.3923678967961044,0.2744143310630567,-0.26827468954695693,-0.8669903265854763,0
17031440201,41.74820975059761,-87.61007386117005,-0.5009888964865589,-0.4826066744028846,-0.5924682709650881,0.7745569596890041,0.5759676759581491,0.5023335129718742,-0.6568740601610406,0
17031440202,41.74095993202832,-87.60976203615898,-0.8840135200620399,-0.4966055890352812,1.0306804516206443,-0.461214852181922,0.36770978688013556,-0.5805227669951415,-0.7746798329680464,0
17031440300,41.74372147414208,-87.61954239226287,-1.2215742749135559,-0.2745090804978357,-0.533349781316072,-0.6240522088694427,0.7159108596837671,-0.5612533767568607,-0.7447888159871644,0
