GEOID,poverty_population_diff,median_household_income_diff,median_gross_rent_diff,median_home_value_diff,bachelors_or_higher_diff,median_household_income_2010_on_2020,median_household_income_2020,gentrification_score
17031251200,788.0,13275.0,345.0,-48200.0,28.0,37917.0,51192.0,-1.3980903219166767
17031251500,66.0,17191.0,202.0,-46600.0,235.0,28194.0,45385.0,-0.15814995142953742
17031251600,971.0,2788.0,248.0,-32300.0,80.0,28150.0,30938.0,-2.3764552010477775
17031251700,-192.0,30269.0,291.0,-66800.0,-73.0,22423.0,52692.0,0.3210490997208477
17031251800,-545.0,-358.0,84.0,-21800.0,149.0,25875.0,25517.0,-0.7875132269169641
17031251900,-532.0,4121.0,118.0,-900.0,-75.0,18818.0,22939.0,-0.6535169666123721
17031252102,-761.3110745259874,11701.542139313797,141.1089374297959,-105999.93274872129,43.24631564230998,24247.457860686205,35949.0,-0.9823190883875732
17031252201,-426.0,13466.0,117.0,13100.0,148.0,22738.0,36204.0,0.5916544934595345
17031252202,35.0,2650.0,155.0,-26100.0,97.0,29523.0,32173.0,-1.315344132980072
17031260100,1.0,7703.0,188.0,57900.0,79.0,11464.0,19167.0,0.3955027809982729
17031260200,-133.0,11118.0,28.0,-700.0,36.0,24924.0,36042.0,-0.8547559621924044
17031260300,7.0,-3432.0,194.0,-11200.0,-73.0,21776.0,18344.0,-1.7310921642206973
17031260400,66.0,,144.0,-78600.0,-32.0,17667.0,,
17031260500,162.2015489067462,17878.627181966793,52.35797408258759,2068.8709202622995,41.68715904322282,21389.372818033207,39268.0,-0.6771318536492532
17031260600,-1034.2015489067462,6885.372818033207,232.64202591741264,-107368.8709202623,-91.68715904322283,22691.6271819668,29577.0,-0.8930638729468618
17031260700,-589.0,1206.0,75.0,-17700.0,1.0,25813.0,27019.0,-0.9920830935229402
17031260800,-556.0,2420.0,149.0,-149500.0,29.0,26209.0,28629.0,-2.521747453358045
17031260900,-581.0,-13032.0,-28.0,-700.0,-4.0,30051.0,17019.0,-2.1241830081671953
17031261000,-236.0,6411.0,-87.0,-33800.0,7.0,33646.0,40057.0,-2.068541567680671
17031270500,-322.0,-2563.0,56.0,8500.0,-74.0,20376.0,17813.0,-1.5061035322264704
17031271200,-166.0,17224.0,-76.0,-53900.0,150.0,19515.0,36739.0,-1.3419022618797376
17031271300,-73.0,5553.0,-201.0,54600.0,-17.0,18538.0,24091.0,-1.596000081948428
17031271400,-82.0,1875.0,61.0,-82700.0,99.0,24476.0,26351.0,-2.4315022447358623
17031271500,262.0,-7267.0,196.0,-33900.0,0.0,39073.0,31806.0,-2.4759361755010816
17031280800,434.0,-452.0,234.0,34100.0,134.0,18382.0,17930.0,-0.7580216320285369
17031280900,-435.0,8467.0,-4.0,2000.0,147.0,10217.0,18684.0,-0.40063482771287506
17031282700,-325.0,28241.0,403.0,-16600.0,141.0,37409.0,65650.0,2.1628723860789054
