GEOID,poverty_population_diff,median_household_income_diff,median_gross_rent_2010_on_2020,median_gross_rent_diff,median_home_value_diff,bachelors_or_higher_diff,median_household_income_2010_on_2020,median_household_income_2020,gentrification_score
17031242700,-377.0,45312.0,906.0,307.0,-37600.0,419.0,26393.0,71705.0,3.3438121969789534
17031250200,-146.0,-1140.0,909.0,77.0,-22400.0,210.0,42692.0,41552.0,-1.470179424913941
17031250300,1456.251823260011,8485.638507068212,944.0475639352948,138.95243606470524,-41020.67557385069,461.6227346189991,31358.36149293179,39844.0,-2.4085180462475524
17031250700,-754.0,14707.0,892.0,85.0,-1500.0,240.0,31263.0,45970.0,0.8487325285141722
17031250800,324.0,8026.0,856.0,258.0,-2200.0,20.0,39079.0,47105.0,-0.838261894306115
17031251000,-173.0,18750.0,828.0,93.0,-7700.0,-7.0,18173.0,36923.0,-0.36461772629261613
17031251100,94.0,-6702.0,914.0,212.0,-25900.0,60.0,29429.0,22727.0,-1.9590890170905786
17031251200,788.0,13275.0,914.0,345.0,-48200.0,28.0,37917.0,51192.0,-1.3675947742383023
17031251500,66.0,17191.0,835.0,202.0,-46600.0,235.0,28194.0,45385.0,-0.23808425528268304
17031251700,-192.0,30269.0,931.0,291.0,-66800.0,-73.0,22423.0,52692.0,0.3509690822986907
17031251800,-545.0,-358.0,928.0,84.0,-21800.0,149.0,25875.0,25517.0,-0.9723543964562616
17031251900,-532.0,4121.0,786.0,118.0,-900.0,-75.0,18818.0,22939.0,-0.7901896062472245
17031252102,-761.3110745259874,11701.542139313797,936.891062570204,141.1089374297959,-105999.93274872129,43.24631564230998,24247.457860686205,35949.0,-1.0797832163357155
17031252201,-426.0,13466.0,871.0,117.0,13100.0,148.0,22738.0,36204.0,0.44124974169041276
17031252202,35.0,2650.0,863.0,155.0,-26100.0,97.0,29523.0,32173.0,-1.4360720392810513
17031260100,1.0,7703.0,395.0,188.0,57900.0,79.0,11464.0,19167.0,0.27529268044380945
17031260300,7.0,-3432.0,672.0,194.0,-11200.0,-73.0,21776.0,18344.0,-1.8269220782164295
17031260400,66.0,,727.0,144.0,-78600.0,-32.0,17667.0,,
17031270500,-322.0,-2563.0,669.0,56.0,8500.0,-74.0,20376.0,17813.0,-1.6849322292487152
17031271200,-166.0,17224.0,889.0,-76.0,-53900.0,150.0,19515.0,36739.0,-1.555756122355676
17031271300,-73.0,5553.0,901.0,-201.0,54600.0,-17.0,18538.0,24091.0,-1.9067884619175466
17031271400,-82.0,1875.0,931.0,61.0,-82700.0,99.0,24476.0,26351.0,-2.586332155067104
17031271500,262.0,-7267.0,879.0,196.0,-33900.0,0.0,39073.0,31806.0,-2.573751112516558
17031280800,434.0,-452.0,354.0,234.0,34100.0,134.0,18382.0,17930.0,-0.8588574349849812
17031280900,-435.0,8467.0,527.0,-4.0,2000.0,147.0,10217.0,18684.0,-0.6185482883601656
17031283800,911.0,41396.0,806.0,236.0,-23800.0,716.0,45972.0,87368.0,1.8924888946517622
17031291200,-171.0,9292.0,901.0,126.0,-6600.0,-3.0,18922.0,28214.0,-0.8135709429579743
17031291600,-344.0,49346.0,861.0,649.0,103100.0,126.0,28571.0,77917.0,6.496578727115617
17031292200,-530.3027098696011,10944.744586424738,901.4233419628504,158.57665803714963,-132119.50094723416,9.475322852118246,24240.25541357526,35185.0,-1.8320556940231223
17031292400,239.0,26842.0,847.0,324.0,-2600.0,121.0,23158.0,50000.0,1.0946369353505232
17031292500,-379.0,13988.0,790.0,298.0,11400.0,474.0,32500.0,46488.0,2.066462810786889
17031300500,-232.0,8415.0,729.0,129.0,-74800.0,248.0,44119.0,52534.0,-1.1294870480215848
17031300600,-678.0,6698.0,747.0,233.0,-25500.0,4.0,37239.0,43937.0,-0.02469303938430717
17031300700,377.0,9090.0,698.0,130.0,-12100.0,244.0,31492.0,40582.0,-1.032413320560984
17031300800,90.0,-4327.0,740.0,116.0,17100.0,53.0,31801.0,27474.0,-1.6482034205830598
17031300900,319.0,8042.0,688.0,98.0,-145300.0,88.0,23567.0,31609.0,-3.4928183294513815
17031301100,-216.0833816520767,1381.726676188995,659.7905559248208,136.20944407517925,-128354.81183974206,70.43054121706663,32468.273323811005,33850.0,-2.8060501909100144
17031301200,331.0,-2547.0,793.0,-24.0,-24700.0,187.0,36518.0,33971.0,-2.801790409952082
17031301600,-468.0,-1805.0,699.0,50.0,-50000.0,268.0,28359.0,26554.0,-1.4475399513814224
17031301701,-211.0,4278.0,687.0,104.0,-35400.0,141.0,42485.0,46763.0,-1.2515859482595915
17031301702,62.0,1034.0,705.0,64.0,-71700.0,123.0,41996.0,43030.0,-2.6095463091099105
17031301802,57.0,9091.0,639.0,141.0,-4800.0,162.0,28548.0,37639.0,-0.6334997479521026
17031301803,-898.0,-3080.0,714.0,107.0,-61500.0,147.0,36307.0,33227.0,-1.1307744518281777
17031310400,-288.0,41506.0,693.0,648.0,-1600.0,308.0,28232.0,69738.0,4.833588605779916
17031310500,-203.70719718846385,32605.662185576133,709.4077956229494,264.5922043770506,-3425.8359036115,152.2670222047457,19484.337814423867,52090.0,1.8794631802122304
17031310600,-93.2928028115357,37565.33781442387,625.5922043770506,401.4077956229494,71925.8359036115,1212.7329777952543,28508.662185576133,66074.0,6.459370609835453
17031310700,-542.0,27333.0,649.0,431.0,-69300.0,-129.0,18917.0,46250.0,1.1344354595524733
17031310800,-417.0,24756.0,748.0,227.0,800.0,826.0,37446.0,62202.0,3.227781583522453
17031310900,-380.0,26520.0,743.0,255.0,-38500.0,706.0,32813.0,59333.0,2.5570375977694644
17031330102,7530.085560965168,114652.461707475,182.84231133664355,1882.1576886633568,336441.3305187918,4980.730349547016,10847.538292524989,125500.0,21.290458160032458
17031330103,4435.207928731054,68766.47873683547,231.3357300130621,1559.664269986938,294430.41784630297,3345.612550101357,13724.521263164526,82491.0,16.307797001675915
17031340300,-143.25810827496525,5887.786330568979,595.090646919828,53.90935308017197,-3734.335954480339,69.93240722103728,30005.21366943102,35893.0,-1.197809096923347
17031340400,-160.0,5760.0,860.0,194.0,9700.0,134.0,45167.0,50927.0,-0.1602002868108244
17031340500,-99.0,9097.0,313.0,441.0,110700.0,121.0,27153.0,36250.0,2.582669138361293
17031340600,-83.85735525196333,-1943.4743994167968,391.0160381044523,-104.01603810445232,,16.635226997870497,15150.474399416797,13207.0,
17031350400,1491.0,9166.0,247.0,101.0,,115.0,10152.0,19318.0,
17031351100,20.0,742.0,417.0,49.0,,99.0,11586.0,12328.0,
17031351400,356.0,1458.0,479.0,260.0,106300.0,234.0,12292.0,13750.0,0.7968113206662255
17031351500,640.0,-9926.0,869.0,107.0,,138.0,28676.0,18750.0,
